,subject,session,sent_complexities,avg_sent_complex,sd_sent_complex
23,24,12,"[6, 9, 5, 6, 4, 6, 7, 5, 6, 6, 6, 6, 13, 8, 7, 7, 13, 10, 16, 7, 5, 5, 12, 10, 15, 9, 8, 8, 5, 7, 7, 7, 6, 10, 6, 6, 7, 5, 8, 5, 6, 4, 9, 8, 5, 6, 5, 6, 6, 7, 5, 5, 9, 11, 9, 10, 10, 9, 5, 10, 8, 7, 8, 8, 5, 9, 11, 6, 5, 5, 7, 5, 5, 5, 7, 5, 6, 6, 7, 7, 6, 5, 5, 7, 6, 9, 7, 9, 8, 5]",7.2,2.343786110832926
24,25,1,"[6, 5, 7, 7, 6, 7, 9, 6, 6, 7, 10, 4, 9, 6, 5, 9, 7, 5, 5, 5, 8, 6, 5, 5, 5, 7, 4, 5, 6, 7, 4, 9, 12, 5, 7, 8, 9, 6, 6, 12, 8, 7, 5, 6, 5, 9, 8, 7, 6, 6, 4, 6, 5, 6, 6, 8, 6, 9, 13, 6, 5, 13, 7, 8, 4, 4, 7, 6, 7, 6, 6, 6, 6, 10, 6, 7, 5, 5, 5, 5, 5, 8, 7, 8, 6, 5, 4, 4, 12, 5]",6.611111111111111,2.0204204427376244
25,25,2,"[8, 5, 6, 7, 6, 6, 6, 5, 6, 7, 7, 4, 8, 5, 6, 5, 5, 5, 4, 11, 5, 6, 6, 6, 5, 5, 5, 8, 6, 7, 9, 5, 4, 7, 5, 4, 5, 6, 9, 7, 7, 8, 8, 8, 5, 8, 6, 5, 5, 9, 8, 5, 4, 9, 6, 5, 6, 7, 5, 6, 5, 6, 6, 6, 6, 6, 7, 6, 5, 6, 5, 5, 4, 8, 5, 7, 4, 5, 5, 5, 5, 5, 5, 6, 5, 6, 5, 7, 5, 6]",5.988888888888889,1.3702752719755453
26,25,3,"[5, 8, 9, 10, 8, 7, 6, 6, 8, 5, 6, 8, 6, 5, 10, 10, 8, 6, 10, 5, 6, 8, 6, 7, 9, 9, 6, 4, 6, 9, 9, 4, 10, 6, 4, 6, 9, 5, 6, 8, 7, 4, 9, 10, 7, 6, 7, 6, 7, 6, 6, 6, 6, 7, 16, 6, 8, 5, 7, 10, 9, 6, 7, 7, 6, 8, 9, 5, 7, 8, 6, 5, 6, 5, 6, 4, 5, 7, 6, 7, 10, 5, 7, 4, 7, 6, 5, 5, 6, 6]",6.877777777777778,1.9196514601341208
27,25,4,"[8, 5, 5, 7, 9, 5, 8, 9, 5, 6, 6, 4, 6, 6, 5, 7, 5, 8, 5, 5, 5, 6, 6, 5, 6, 8, 6, 5, 4, 8, 5, 5, 6, 6, 6, 6, 12, 6, 7, 5, 5, 5, 6, 6, 5, 8, 6, 5, 5, 5, 5, 9, 5, 5, 6, 5, 5, 5, 6, 6, 5, 5, 5, 10, 9, 5, 9, 7, 8, 9, 5, 5, 11, 4, 5, 7, 6, 9, 5, 6, 8, 6, 5, 9, 6, 4, 5, 9, 4, 5]",6.177777777777778,1.6638494708742118
28,25,5,"[8, 6, 6, 7, 5, 6, 7, 5, 7, 9, 7, 6, 6, 6, 7, 6, 7, 7, 7, 10, 12, 5, 12, 9, 5, 4, 5, 8, 8, 4, 8, 9, 6, 5, 5, 5, 5, 6, 6, 5, 5, 6, 7, 7, 9, 9, 9, 6, 6, 6, 8, 7, 6, 5, 6, 5, 6, 5, 6, 7, 5, 7, 4, 5, 5, 4, 7, 9, 8, 12, 6, 7, 9, 10, 4, 8, 8, 5, 9, 5, 6, 9, 5, 6, 9, 5, 10, 4, 10, 6]",6.722222222222222,1.8739606172654024
29,25,6,"[12, 5, 5, 4, 6, 5, 14, 4, 4, 6, 9, 5, 6, 6, 6, 5, 5, 5, 14, 5, 6, 6, 6, 5, 4, 7, 10, 5, 7, 5, 5, 6, 10, 8, 4, 5, 5, 7, 5, 5, 6, 5, 9, 6, 6, 5, 6, 6, 7, 7, 5, 5, 7, 5, 4, 4, 5, 4, 6, 5, 5, 6, 5, 8, 5, 4, 5, 5, 7, 6, 5, 5, 5, 5, 8, 5, 4, 6, 7, 5, 5, 6, 8, 6, 6, 5, 4, 4, 6, 6]",5.911111111111111,1.889411692355553
30,25,7,"[6, 7, 5, 6, 4, 12, 4, 6, 5, 11, 5, 6, 7, 6, 6, 8, 9, 17, 7, 7, 8, 4, 9, 6, 5, 5, 10, 8, 7, 10, 11, 10, 7, 10, 5, 6, 5, 6, 8, 6, 7, 7, 5, 7, 11, 7, 4, 5, 12, 5, 5, 7, 7, 8, 6, 5, 6, 11, 8, 6, 9, 12, 6, 6, 8, 7, 6, 7, 6, 6, 10, 6, 9, 6, 4, 6, 7, 6, 7, 5, 5, 7, 8, 8, 8, 8, 8, 8, 6, 5]",7.1,2.2113344387495983
31,25,8,"[8, 6, 9, 8, 5, 6, 5, 5, 7, 5, 8, 9, 6, 4, 11, 8, 5, 10, 12, 4, 9, 9, 7, 4, 11, 9, 6, 10, 6, 4, 8, 10, 9, 5, 11, 6, 7, 4, 4, 5, 7, 5, 9, 7, 8, 16, 12, 11, 9, 5, 5, 6, 9, 8, 5, 7, 5, 6, 5, 7, 15, 6, 5, 6, 6, 5, 6, 4, 5, 12, 5, 6, 5, 6, 9, 6, 11, 6, 9, 10, 5, 7, 6, 10, 7, 5, 9, 5, 5, 5]",7.155555555555556,2.5162189937863833
32,25,9,"[7, 4, 7, 6, 6, 12, 9, 4, 5, 6, 5, 11, 6, 5, 5, 6, 13, 6, 5, 6, 7, 5, 7, 5, 8, 6, 6, 6, 7, 6, 7, 5, 7, 6, 5, 7, 4, 5, 6, 11, 11, 10, 6, 7, 7, 4, 6, 5, 4, 6, 7, 5, 5, 5, 6, 7, 9, 6, 7, 6, 8, 5, 5, 5, 5, 10, 8, 4, 14, 6, 6, 4, 4, 4, 5, 6, 5, 6, 11, 5, 10, 6, 7, 9, 6, 14, 9, 4, 6, 7]",6.588888888888889,2.2454618156254846
